,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,RH,SLP-STP,MSXPD-WDSP,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
242,18383,Salmonella,2013/8/19,2013/8/24,10,WA,Washington,King,,,,,,,,,,,,,,,,,,,68.15416667,78.425,59.52916667,52.37777778,1016.05,1009.794444,4.929166667,10.23333333,0.0,0.0,0.0,0.041666667,0.0,0.0,0.0,0.0,37.1,125269.637,57.09336148078227,6.255555999999956,5.304166663000001,71404.13425,5.389110703,0.262082507,923.1321382
243,18405,Salmonella,2013/5/3,2013/5/5,8,WI,Wisconsin,Outagamie,,,,,,,,,,,,,,,,,,,47.56666667,61.4,39.2,40.6,1015.5471801757812,986.0333333,9.466666667,14.3,0.026666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,37.49808219,9131.512329,76.64526637865453,29.51384687578127,4.833333333000001,58068.6411,5.742359991,0.452328602,278.5686702
244,18407,Salmonella,2013/6/6,2013/6/10,75,WI,Wisconsin,Iowa,,,,,,,,,,,,,,,,,,,62.7,71.6,55.76,52.02,1013.955810546875,970.96,4.82,11.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,41.68219178,1034.591781,68.09650440365014,42.995810546874964,6.379999999999999,55763.98356,4.328357576,2.650264946,31.09222226
245,18408,Salmonella,2013/4/20,2013/4/26,5,WI,Wisconsin,Walworth,,,,,,,,,,,,,,,,,,,44.87857143,56.59571429,35.47571429,29.15142857,1022.214286,992.6085714,8.748571429,14.59714286,0.04,0.0,0.0,0.285714286,0.142857143,0.0,0.0,0.0,38.17616438,7234.186301,53.773667791361454,29.605714600000056,5.848571431,54150.95616,6.368453122,1.002173524,184.6834741
246,18412,Salmonella,2013/5/23,2013/9/23,17,WI,Wisconsin,Brown,Dane,Manitowoc,Marathon,Milwaukee,Outagamie,,,,,,,,,,,,,,66.22529122,76.52400314,56.94288754,56.24347638,1015.926613,984.2243664,6.177318548,12.64951837,0.09452765,0.0,0.052419355,0.328741039,0.000896057,0.000896057,0.130824373,0.0,37.46726027,16965.80685,70.25378807714078,31.702246599999967,6.472199821999999,53253.24201,5.547497359,0.909461297,885.6826181
247,18414,Salmonella,2013/5/18,2013/5/20,25,WI,Wisconsin,Marathon,,,,,,,,,,,,,,,,,,,66.03333333,78.61666667,56.21666667,57.53333333,1011.033333,967.05,8.516666667,14.15,0.093333333,0.0,0.0,0.666666667,0.0,0.0,0.166666667,0.0,39.57150685,5054.641096,74.0882247405168,43.983333000000016,5.6333333329999995,53514.94795,4.706835041,1.309483636,86.94180197
248,18421,Salmonella,2013/10/12,2013/12/10,133,OK,Oklahoma,McClain,Muskogee,,,,,,,,,,,,,,,,,,48.45183333,60.19033333,39.15783333,38.12941667,1021.019,988.33,8.280333333,14.96175,0.0855,0.050833333,0.1,0.375,0.125,0.0,0.05,0.0,38.08616438,3623.653425,67.33053231945549,32.688999999999965,6.681416667000001,46194.30548,5.506440993,1.116174208,73.8630626
249,18432,Salmonella,2014/3/10,2014/3/15,12,UT,Utah,Salt Lake,,,,,,,,,,,,,,,,,,,48.4,63.11666667,34.31666667,26.26666667,1019.533333,874.55,7.75,17.16666667,0.008333333,0.0,0.0,0.333333333,0.166666667,0.0,0.0,0.0,31.44123288,55349.08356,41.80772395856705,144.98333300000002,9.416666670000001,61271.46164,5.117353262,0.113707236,1428.92427
250,18495,Salmonella,2014/2/10,2014/2/10,21,TX,Texas,Dallas,,,,,,,,,,,,,,,,,,,35.51666667,44.5,30.85,33.08333333,1022.166667,1001.866667,10.15,13.68333333,0.014,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,32.87753425,130164.9123,90.74003428565578,20.299999999999955,3.5333333299999996,49875.12603,6.079882631,0.162827659,2806.040846
251,18682,Salmonella,2014/3/21,2014/4/15,11,MA,Massachusetts,Middlesex,,,,,,,,,,,,,,,,,,,41.93461538,56.25769231,29.88846154,27.94230769,1015.830769,1009.411538,8.657692308,17.08461538,0.193461538,0.0,0.038461538,0.461538462,0.076923077,0.0,0.0,0.0,38.52534247,100146.9795,57.27823732559111,6.419231000000082,8.426923072,83133.71233,4.398721453,0.085605978,1877.488942
252,18957,Salmonella,2014/1/31,2014/2/23,9,AZ,Arizona,Maricopa,,,,,,,,,,,,,,,,,,,60.59097222,73.86284722,46.13819444,29.36583333,1014.052083,970.4199653,4.072083333,8.9225,0.0,0.0,0.0,0.003472222,0.0,0.0,0.0,0.0,35.26506849,197047.3562,30.460670100863656,43.632117700000094,4.850416666999999,53678.17123,5.844513568,0.283021416,428.319878
253,18978,Salmonella,2014/4/29,2014/5/23,18,UT,Utah,Salt Lake,,,,,,,,,,,,,,,,,,,58.068,71.536,43.184,31.708,1013.008,870.184,7.248,14.756,0.048,0.0,0.0,0.28,0.0,0.04,0.12,0.0,31.39232877,55480.63562,36.65687977093802,142.82400000000007,7.508,61126.21644,5.10779456,0.116841615,1425.551906
254,19040,Salmonella,2014/2/28,2014/3/7,8,SC,South Carolina,Spartanburg,,,,,,,,,,,,,,,,,,,43.1,57.24375,32.36875,28.43125,1019.475,984.1125,6.71875,13.65,0.066875,0.0,0.0,0.5,0.0625,0.0,0.0,0.0,38.2,15402.5,55.879831643218125,35.36250000000007,6.93125,43446.09589,5.765740347,0.286102284,356.9566416
255,19135,Salmonella,2014/5/15,2014/5/20,8,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,61.425,69.70416667,51.51666667,46.17222222,1018.372222,1008.622222,8.204166667,15.1125,0.2,0.0,0.083333333,0.375,0.0,0.0,0.0,0.0,39.52465753,34657.94521,57.25968162955483,9.75,6.908333333,61777.84932,5.072416104,0.251806329,1427.512705
